"","county","industry","medium","injury_type","injury_date","death","injuries"
"393","高雄市","製造業","易燃液體","火災",2017-04-15,2,0
"394","台南市","農、林、漁、牧業","牛","被撞",2017-04-15,1,0
"395","台中市","營造業","施工架","墜落、滾落",2017-04-17,1,0
"396","嘉義縣","營造業","施工架","墜落、滾落",2017-04-18,1,0
"397","桃園市","支援服務業","其他媒介物","物體倒塌、崩塌",2017-04-18,1,0
"398","屏東縣","製造業","通路","墜落、滾落",2017-04-20,1,0
"399","新北市","營造業","營建物","物體飛落",2017-04-24,1,0
"400","高雄市","製造業","硫化氫","與有害物等之接觸",2017-04-24,1,2
"401","新竹縣","農、林、漁、牧業","立木","物體飛落",2017-04-25,1,0
"402","高雄市","其他服務業","車輛","物體飛落",2017-04-25,1,0
"403","台南市","製造業","堆高機","衝撞",2017-04-27,1,0
"404","台北市","其他服務業","開口部分","墜落、滾落",2017-04-28,1,0
"405","台中市","營造業","可燃性氣體","火災",2017-04-29,0,3
"406","雲林縣","製造業","浪板","墜落、滾落",2017-04-29,1,0
"407","台南市","製造業","易燃性液體","火災",2017-04-30,1,0
"408","桃園市","用水供應及汙染整治業","其他媒介物","墜落、滾落",2017-05-02,1,0
"409","彰化縣","製造業","操紙機","被撞",2017-05-03,1,0
"410","花蓮縣","公共行政及國防；強制性社會安全","移動式起重機","物體飛落",2017-05-05,1,0
"411","花蓮縣","農、林、漁、牧業","曳引機","被撞",2017-05-05,1,0
"412","新北市","公共行政及國防；強制性社會安全","汽車、公共汽車","公路交通事故",2017-05-07,2,0
"413","桃園市","製造業","升降機","被夾、被捲",2017-05-09,1,0
"414","桃園市","製造業","固定式起重機","墜落、滾落",2017-05-10,1,0
"415","嘉義縣","營造業","高低溫環境","與高溫、低溫之接觸",2017-05-12,1,0
"416","花蓮縣","製造業","其他材料(石膏)","墜落、滾落",2017-05-13,2,0
"417","彰化縣","營造業","屋頂、屋架、樑","墜落、滾落",2017-05-15,1,0
"418","高雄市","營造業","其他","火災",2017-05-15,1,12
"419","雲林縣","製造業","其他","其他",2017-05-19,0,4
"420","花蓮縣","營造業","開口部分","被撞",2017-05-20,1,0
"421","台北市","營造業","開口部分","墜落、滾落",2017-05-20,1,0
"422","台中市","營造業","手工具","被刺、割、擦傷",2017-05-23,1,0
"423","高雄市","批發及零售業","車輛","物體倒塌、崩塌",2017-05-24,1,0
"424","南投縣","營造業","梯子等","墜落、滾落",2017-05-24,1,0
"425","高雄市","營造業","開口部分","墜落、滾落",2017-05-27,1,0
"426","彰化縣","營造業","梯子等","墜落、滾落",2017-05-29,1,0
"427","桃園市","製造業","採光罩","墜落、滾落",2017-05-31,1,0
"428","台中市","營造業","屋頂、屋架、樑","墜落、滾落",2017-06-05,1,0
"429","台北市","資訊及通訊傳播業","其他電器設備(冷氣室外機)","感電",2017-06-05,1,0
"430","新北市","製造業","混凝土車","墜落、滾落",2017-06-06,1,0
"431","新北市","營造業","施工架","墜落、滾落",2017-06-06,1,0
"432","花蓮縣","農、林、漁、牧業","卡車","被撞",2017-06-07,1,0
"433","嘉義縣","製造業","塑膠袋","物體倒塌、崩塌",2017-06-07,1,1
"434","屏東縣","用水供應及汙染整治業","通路","跌倒",2017-06-07,1,0
"435","台南市","製造業","開口部分","墜落、滾落",2017-06-08,1,0
"436","高雄市","不動產業","梯子等","墜落、滾落",2017-06-09,1,0
"437","新竹縣","農、林、漁、牧業","挖土機","墜落、滾落",2017-06-10,1,0
"438","高雄市","營造業","電弧熔接","感電",2017-06-12,1,0
"439","高雄市","製造業","工作台","墜落、滾落",2017-06-13,1,0
"440","嘉義縣","農、林、漁、牧業","堆高機","其他",2017-06-13,1,0
"441","高雄市","製造業","施工架","墜落、滾落",2017-06-13,1,0
"442","高雄市","其他服務業","樹枝","墜落、滾落",2017-06-14,1,0
"443","高雄市","製造業","鋼胚","物體倒塌、崩塌",2017-06-14,1,0
"444","新北市","其他服務業","PVC磚","物體飛落",2017-06-14,1,0
"445","宜蘭縣","營造業","輸配電線路","感電",2017-06-16,1,0
"446","雲林縣","專業、科學及技術服務業","移動梯","墜落、滾落",2017-06-19,1,0
"447","台南市","製造業","金屬材料","物體倒塌、崩塌",2017-06-20,1,0
"448","苗栗縣","營造業","屋頂、屋架、樑","墜落、滾落",2017-06-20,1,0
"449","高雄市","製造業","待查","待查",2017-06-22,1,0
"450","新竹縣","製造業","屋頂、屋架、樑","墜落、滾落",2017-06-22,1,0
"451","雲林縣","營造業","動力鏟類設備(挖土機)","溺斃",2017-06-22,1,0
"452","高雄市","營造業","施工架","墜落、滾落",2017-06-22,1,0
"453","嘉義縣","營造業","移動式起重機","墜落、滾落",2017-06-23,1,0
"454","高雄市","營造業","屋頂、屋架、樑","墜落、滾落",2017-06-23,1,0
"455","桃園市","其他服務業","移動式起重機搭乘設備","墜落、滾落",2017-06-23,1,0
"456","桃園市","支援服務業","其他","物體倒塌、崩塌",2017-06-24,1,0
"457","桃園市","製造業","基座H鋼","物體倒塌、崩塌",2017-06-24,1,0
"458","台中市","營造業","金屬材料","被刺、割、擦傷",2017-06-24,1,0
"459","宜蘭縣","製造業","硫化氫","與有害物等之接觸",2017-06-26,4,1
"460","新竹縣","製造業","罩子","感電",2017-06-26,1,0
"461","台中市","製造業","移動梯","墜落、滾落",2017-06-27,1,0
"462","高雄市","營造業","屋頂、屋架、樑","墜落、滾落",2017-06-28,1,0
"463","彰化縣","批發及零售業","營建物","墜落、滾落",2017-06-28,1,0
"464","新北市","營造業","施工架","墜落、滾落",2017-06-29,1,0
"465","台南市","製造業","採光罩","墜落、滾落",2017-06-30,1,0
